"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.000,0.97,,,0.000,0.98,,,0.000,0.90,,,0.000,0.90,,,0.000,0.87,,,0.000,1.00,,,0.000,0.94,,,0.000,0.92,,,0.000,0.80,,,0.000,0.86,,
0.020,0.97,-0.03,,0.020,0.98,-0.07,,0.020,0.90,-0.03,,0.020,0.89,-0.08,,0.020,0.87,-0.02,,0.020,1.00,-0.08,,0.020,0.93,-0.25,,0.020,0.92,-0.14,,0.020,0.80,0.00,,0.020,0.86,-0.02,
0.040,0.97,-0.01,0.72,0.040,0.98,0.00,2.27,0.040,0.90,-0.02,0.43,0.040,0.89,-0.03,1.96,0.040,0.87,0.01,0.64,0.040,1.00,-0.01,2.49,0.040,0.93,-0.20,0.98,0.040,0.92,-0.17,-1.63,0.040,0.80,0.00,-0.87,0.040,0.86,0.00,0.50
0.060,0.97,6.28E-4,0.46,0.060,0.98,0.02,0.77,0.060,0.90,-0.01,0.39,0.060,0.89,0.00,0.90,0.060,0.87,0.01,-0.24,0.060,1.00,0.02,1.06,0.060,0.92,-0.21,-0.13,0.060,0.91,-0.20,-1.57,0.060,0.80,-0.03,-1.24,0.060,0.86,0.00,0.20
0.080,0.97,0.01,0.25,0.080,0.98,0.02,-0.07,0.080,0.90,0.00,0.27,0.080,0.89,0.00,0.22,0.080,0.87,-0.01,-0.66,0.080,1.00,0.02,0.11,0.080,0.92,-0.22,-1.07,0.080,0.91,-0.24,-1.43,0.080,0.80,-0.07,-0.51,0.080,0.86,1.80E-4,-0.02
0.100,0.97,0.01,0.11,0.100,0.98,0.01,-0.29,0.100,0.90,0.00,0.05,0.100,0.89,0.00,-0.03,0.100,0.87,-0.03,-0.58,0.100,1.00,0.02,-0.32,0.100,0.91,-0.25,-1.91,0.100,0.91,-0.26,-1.31,0.100,0.79,-0.07,1.24,0.100,0.86,-5.35E-4,-0.24
0.120,0.97,0.01,0.01,0.120,0.98,0.01,-0.29,0.120,0.90,9.37E-4,-0.18,0.120,0.89,0.00,-0.05,0.120,0.87,-0.04,-0.17,0.120,1.00,0.01,-0.26,0.120,0.91,-0.30,-2.19,0.120,0.90,-0.28,-1.27,0.120,0.79,-0.02,2.59,0.120,0.86,-0.01,-0.58
0.140,0.97,0.01,-0.15,0.140,0.98,0.00,-0.28,0.140,0.90,-0.01,-0.34,0.140,0.89,1.86E-4,-0.04,0.140,0.87,-0.04,0.21,0.140,1.00,-6.26E-4,-0.22,0.140,0.90,-0.37,-1.33,0.140,0.89,-0.31,-1.26,0.140,0.79,0.06,2.02,0.140,0.86,-0.02,-1.01
0.160,0.97,0.01,-0.38,0.160,0.98,-0.01,-0.14,0.160,0.90,-0.01,-0.38,0.160,0.89,0.00,-0.02,0.160,0.87,-0.03,0.24,0.160,1.00,0.01,-0.64,0.160,0.89,-0.36,-0.38,0.160,0.89,-0.34,-1.15,0.160,0.80,0.10,-0.58,0.160,0.86,-0.05,-1.40
0.180,0.97,-0.01,-0.51,0.180,0.98,-0.01,-0.21,0.180,0.90,-0.02,-0.30,0.180,0.89,0.00,0.02,0.180,0.87,-0.02,-0.29,0.180,1.00,-0.01,-1.62,0.180,0.89,-0.34,-0.61,0.180,0.88,-0.36,-1.03,0.180,0.80,0.05,-3.61,0.180,0.86,-0.08,-1.60
0.200,0.97,-0.02,-0.45,0.200,0.98,0.00,-1.05,0.200,0.90,-0.03,-0.23,0.200,0.89,-1.86E-4,0.05,0.200,0.87,-0.03,-1.13,0.200,1.00,-0.06,-2.61,0.200,0.88,-0.37,-1.64,0.200,0.87,-0.38,-0.91,0.200,0.80,-0.07,-4.91,0.200,0.86,-0.12,-1.53
0.220,0.97,-0.02,-0.42,0.220,0.98,-0.03,-2.52,0.220,0.90,-0.03,-0.43,0.220,0.89,0.00,0.03,0.220,0.87,-0.07,-1.81,0.220,1.00,-0.13,-2.81,0.220,0.87,-0.43,-1.70,0.220,0.87,-0.40,-0.96,0.220,0.80,-0.19,-3.82,0.220,0.86,-0.15,-1.07
0.240,0.97,-0.03,-0.65,0.240,0.98,-0.11,-3.26,0.240,0.90,-0.04,-1.00,0.240,0.89,0.00,0.00,0.240,0.87,-0.11,-2.07,0.240,1.00,-0.19,-2.46,0.240,0.86,-0.47,-0.85,0.240,0.86,-0.41,-1.24,0.240,0.79,-0.24,-1.65,0.240,0.85,-0.17,-0.53
0.260,0.97,-0.05,-1.20,0.260,0.97,-0.20,-2.07,0.260,0.90,-0.07,-1.55,0.260,0.89,-1.86E-4,0.02,0.260,0.86,-0.15,-1.96,0.260,0.99,-0.22,-2.21,0.260,0.86,-0.45,-0.26,0.260,0.85,-0.44,-1.43,0.260,0.79,-0.24,0.02,0.260,0.85,-0.16,-0.59
0.280,0.96,-0.08,-1.85,0.280,0.97,-0.22,-0.15,0.280,0.89,-0.11,-0.95,0.280,0.89,0.00,0.08,0.280,0.86,-0.19,-1.68,0.280,0.99,-0.26,-2.21,0.280,0.85,-0.46,-0.28,0.280,0.84,-0.48,-1.08,0.280,0.78,-0.23,0.58,0.280,0.85,-0.17,-1.53
0.300,0.96,-0.12,-2.35,0.300,0.96,-0.17,0.20,0.300,0.89,-0.14,-0.14,0.300,0.89,0.00,0.13,0.300,0.86,-0.22,-1.44,0.300,0.98,-0.32,-2.03,0.300,0.84,-0.47,-0.37,0.300,0.83,-0.50,-0.24,0.300,0.78,-0.21,0.27,0.300,0.84,-0.22,-2.55
0.320,0.96,-0.17,-2.54,0.320,0.96,-0.16,-1.64,0.320,0.89,-0.08,-1.03,0.320,0.89,0.01,0.01,0.320,0.85,-0.25,-1.30,0.320,0.97,-0.36,-1.34,0.320,0.83,-0.47,-0.24,0.320,0.82,-0.48,0.21,0.320,0.77,-0.20,-0.61,0.320,0.84,-0.29,-2.51
0.340,0.96,-0.23,-2.31,0.340,0.96,-0.24,-3.53,0.340,0.89,-0.12,-3.70,0.340,0.89,0.01,-0.35,0.340,0.85,-0.27,-1.20,0.340,0.97,-0.37,-0.52,0.340,0.82,-0.48,-0.33,0.340,0.81,-0.47,-0.11,0.340,0.77,-0.23,-1.63,0.340,0.83,-0.34,-1.59
0.360,0.95,-0.27,-1.53,0.360,0.95,-0.35,-3.23,0.360,0.89,-0.26,-5.48,0.360,0.89,0.00,-0.90,0.360,0.84,-0.29,-0.90,0.360,0.96,-0.37,0.03,0.360,0.81,-0.48,-0.58,0.360,0.80,-0.49,-0.66,0.360,0.76,-0.28,-2.10,0.360,0.82,-0.34,-1.06
0.380,0.94,-0.30,-0.64,0.380,0.94,-0.40,-1.18,0.380,0.87,-0.40,-3.84,0.380,0.89,-0.03,-1.44,0.380,0.83,-0.32,-0.43,0.380,0.95,-0.36,0.12,0.380,0.80,-0.50,-0.76,0.380,0.79,-0.51,-0.83,0.380,0.76,-0.33,-1.85,0.380,0.82,-0.36,-1.35
0.400,0.94,-0.29,-0.39,0.400,0.93,-0.39,0.73,0.400,0.87,-0.45,-0.86,0.400,0.89,-0.06,-1.73,0.400,0.83,-0.31,-0.27,0.400,0.94,-0.36,-0.24,0.400,0.79,-0.52,-0.72,0.400,0.78,-0.52,-0.65,0.400,0.75,-0.36,-1.26,0.400,0.81,-0.40,-1.57
0.420,0.93,-0.29,-1.03,0.420,0.93,-0.35,1.09,0.420,0.86,-0.39,0.98,0.420,0.89,-0.10,-1.79,0.420,0.82,-0.31,-0.51,0.420,0.94,-0.37,-0.82,0.420,0.78,-0.53,-0.54,0.420,0.77,-0.53,-0.31,0.420,0.74,-0.37,-0.78,0.420,0.80,-0.44,-1.07
0.440,0.93,-0.33,-1.84,0.440,0.92,-0.32,0.37,0.440,0.85,-0.38,0.92,0.440,0.89,-0.14,-1.74,0.440,0.82,-0.33,-0.89,0.440,0.93,-0.40,-1.16,0.440,0.77,-0.54,0.01,0.440,0.76,-0.54,-0.09,0.440,0.74,-0.39,-0.54,0.440,0.79,-0.45,-0.26
0.460,0.92,-0.38,-1.83,0.460,0.91,-0.34,-0.20,0.460,0.84,-0.36,0.03,0.460,0.89,-0.17,-1.55,0.460,0.81,-0.35,-1.07,0.460,0.92,-0.43,-1.03,0.460,0.76,-0.55,0.42,0.460,0.75,-0.53,-0.38,0.460,0.73,-0.39,-0.50,0.460,0.78,-0.44,0.08
