"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #6","Position (m) Run #6","Velocity (m/s) Run #6","Acceleration (m/s²) Run #6","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10"
0.480,0.91,-0.42,-1.18,0.480,0.91,-0.35,0.60,0.480,0.84,-0.37,-0.66,0.480,0.88,-0.20,-0.99,0.480,0.80,-0.37,-0.84,0.480,0.91,-0.44,-0.66,0.480,0.75,-0.50,-0.10,0.480,0.74,-0.54,-1.12,0.480,0.72,-0.40,-0.63,0.480,0.77,-0.44,-0.06
0.500,0.90,-0.42,-0.56,0.500,0.90,-0.34,0.97,0.500,0.83,-0.39,-1.11,0.500,0.88,-0.22,-0.42,0.500,0.80,-0.40,-0.77,0.500,0.90,-0.45,-0.40,0.500,0.73,-0.52,-1.48,0.500,0.73,-0.58,-1.61,0.500,0.71,-0.42,-0.99,0.500,0.77,-0.44,-0.29
0.520,0.89,-0.43,-0.38,0.520,0.89,-0.25,-1.45,0.520,0.82,-0.42,-1.15,0.520,0.87,-0.21,-0.59,0.520,0.79,-0.39,-1.23,0.520,0.90,-0.45,-0.18,0.520,0.73,-0.58,-0.22,0.520,0.71,-0.62,-0.93,0.520,0.70,-0.44,-1.44,0.520,0.76,-0.45,-0.42
0.540,0.89,-0.44,-0.68,0.540,0.89,-0.33,-5.41,0.540,0.81,-0.44,-1.16,0.540,0.87,-0.22,-1.53,0.540,0.78,-0.43,-2.20,0.540,0.89,-0.46,0.20,0.540,0.71,-0.65,2.99,0.540,0.70,-0.63,0.22,0.540,0.70,-0.48,-1.58,0.540,0.75,-0.46,-0.45
0.560,0.88,-0.45,-1.23,0.560,0.89,-0.54,-6.63,0.560,0.81,-0.46,-1.30,0.560,0.87,-0.28,-2.22,0.560,0.77,-0.49,-2.64,0.560,0.88,-0.45,0.77,0.560,0.70,-0.40,2.48,0.560,0.69,-0.59,0.70,0.560,0.69,-0.52,-1.12,0.560,0.74,-0.47,-0.48
0.580,0.87,-0.49,-1.62,0.580,0.86,-0.70,-2.88,0.580,0.80,-0.49,-1.19,0.580,0.86,-0.33,-1.78,0.580,0.76,-0.56,-1.45,0.580,0.87,-0.43,1.57,0.580,0.69,-0.34,-3.24,0.580,0.68,-0.58,0.18,0.580,0.67,-0.53,-0.10,0.580,0.73,-0.48,-0.46
0.600,0.86,-0.53,-1.29,0.600,0.85,-0.67,1.13,0.600,0.79,-0.52,-0.43,0.600,0.85,-0.36,-0.71,0.600,0.75,-0.57,0.18,0.600,0.86,-0.39,1.81,0.600,0.71,-0.59,-8.21,0.600,0.67,-0.59,-0.86,0.600,0.66,-0.52,0.74,0.600,0.72,-0.49,-0.40
0.620,0.85,-0.55,-0.41,0.620,0.84,-0.54,1.80,0.620,0.77,-0.52,0.47,0.620,0.84,-0.35,-0.12,0.620,0.74,-0.52,0.85,0.620,0.85,-0.33,0.77,0.620,0.66,-0.85,-4.98,0.620,0.65,-0.62,-1.49,0.620,0.65,-0.48,0.79,0.620,0.71,-0.50,-0.36
0.640,0.84,-0.54,0.19,0.640,0.83,-0.56,0.17,0.640,0.76,-0.48,0.49,0.640,0.84,-0.34,-0.50,0.640,0.73,-0.51,0.24,0.640,0.85,-0.33,-1.39,0.640,0.65,-0.88,1.08,0.640,0.64,-0.66,-1.59,0.640,0.64,-0.47,-0.05,0.640,0.70,-0.50,-0.39
0.660,0.82,-0.53,0.11,0.660,0.82,-0.59,-0.80,0.660,0.76,-0.47,-0.55,0.660,0.83,-0.36,-1.38,0.660,0.72,-0.52,1.13,0.660,0.84,-0.40,-3.15,0.660,0.64,-0.65,3.35,0.660,0.63,-0.69,-1.14,0.660,0.64,-0.48,-1.10,0.660,0.69,-0.51,-0.25
0.680,0.81,-0.53,-0.34,0.680,0.81,-0.60,-0.40,0.680,0.75,-0.51,-1.32,0.680,0.82,-0.41,-1.88,0.680,0.70,-0.54,2.85,0.680,0.83,-0.49,-2.84,0.680,0.62,-0.66,1.88,0.680,0.61,-0.71,-0.42,0.680,0.63,-0.53,-1.29,0.680,0.68,-0.52,-0.05
0.700,0.80,-0.55,-0.65,0.700,0.79,-0.60,-0.26,0.700,0.73,-0.56,-1.16,0.700,0.81,-0.45,-1.42,0.700,0.69,-0.35,1.71,0.700,0.82,-0.55,-1.74,0.700,0.61,-0.66,0.22,0.700,0.60,-0.71,0.03,0.700,0.61,-0.56,-0.88,0.700,0.67,-0.51,0.01
0.720,0.79,-0.56,-0.66,0.720,0.78,-0.60,-0.43,0.720,0.72,-0.56,-0.84,0.720,0.80,-0.48,-0.63,0.720,0.68,-0.34,-2.90,0.720,0.81,-0.52,-0.91,0.720,0.60,-0.64,0.23,0.720,0.59,-0.69,0.06,0.720,0.60,-0.55,-0.73,0.720,0.66,-0.51,-0.34
0.740,0.78,-0.57,-0.54,0.740,0.77,-0.62,-0.35,0.740,0.71,-0.56,-1.10,0.740,0.80,-0.46,-0.02,0.740,0.70,-0.52,-6.66,0.740,0.80,-0.57,0.04,0.740,0.59,-0.64,-0.07,0.740,0.57,-0.70,-0.24,0.740,0.59,-0.57,-1.02,0.740,0.65,-0.52,-0.86
0.760,0.77,-0.58,-0.43,0.760,0.76,-0.63,0.22,0.760,0.70,-0.61,-1.45,0.760,0.79,-0.47,0.10,0.760,0.66,-0.72,-4.24,0.760,0.79,-0.57,0.78,0.760,0.57,-0.65,-0.36,0.760,0.56,-0.71,-0.49,0.760,0.58,-0.61,-0.89,0.760,0.64,-0.55,-1.14
0.780,0.76,-0.59,-0.36,0.780,0.75,-0.61,0.70,0.780,0.69,-0.64,-0.96,0.780,0.78,-0.46,-0.35,0.780,0.65,-0.77,0.11,0.780,0.77,-0.49,0.27,0.780,0.56,-0.66,-0.39,0.780,0.54,-0.72,-0.67,0.780,0.57,-0.62,0.01,0.780,0.63,-0.57,-1.28
0.800,0.75,-0.60,-0.33,0.800,0.73,-0.59,0.49,0.800,0.67,-0.65,-0.19,0.800,0.77,-0.47,-1.13,0.800,0.64,-0.60,1.84,0.800,0.77,-0.51,-2.08,0.800,0.55,-0.67,-0.37,0.800,0.53,-0.73,-0.89,0.800,0.55,-0.60,0.61,0.800,0.61,-0.59,-1.15
0.820,0.73,-0.60,-0.30,0.820,0.72,-0.58,-0.30,0.820,0.66,-0.63,0.06,0.820,0.76,-0.51,-1.73,0.820,0.63,-0.63,0.72,0.820,0.76,-0.60,-3.15,0.820,0.53,-0.67,-0.35,0.820,0.51,-0.76,-0.95,0.820,0.54,-0.57,0.33,0.820,0.60,-0.63,-0.88
0.840,0.72,-0.61,-0.29,0.840,0.71,-0.60,-0.90,0.840,0.65,-0.64,-0.23,0.840,0.75,-0.56,-1.40,0.840,0.61,-0.64,-0.17,0.840,0.74,-0.71,-1.17,0.840,0.52,-0.68,-0.32,0.840,0.50,-0.78,-0.63,0.840,0.53,-0.58,-0.26,0.840,0.59,-0.63,-0.41
0.860,0.71,-0.61,-0.08,0.860,0.70,-0.63,-0.84,0.860,0.64,-0.65,-0.49,0.860,0.73,-0.58,-0.68,0.860,0.60,-0.64,0.55,0.860,0.73,-0.67,1.14,0.860,0.51,-0.69,-0.26,0.860,0.48,-0.79,-0.02,0.860,0.52,-0.60,-0.60,0.860,0.58,-0.64,-0.07
0.880,0.70,-0.62,0.32,0.880,0.68,-0.64,-0.37,0.880,0.62,-0.66,-0.13,0.880,0.72,-0.57,-0.54,0.880,0.59,-0.61,0.59,0.880,0.72,-0.58,1.49,0.880,0.49,-0.69,-0.19,0.880,0.47,-0.78,0.31,0.880,0.51,-0.61,-0.64,0.880,0.56,-0.63,0.00
0.900,0.68,-0.60,0.29,0.900,0.67,-0.64,0.03,0.900,0.61,-0.67,0.60,0.900,0.71,-0.58,-1.04,0.900,0.58,-0.59,-0.19,0.900,0.70,-0.59,0.17,0.900,0.48,-0.69,-0.11,0.900,0.45,-0.76,0.29,0.900,0.50,-0.62,-0.64,0.900,0.55,-0.64,-0.04
0.920,0.67,-0.58,-0.63,0.920,0.66,-0.64,0.19,0.920,0.60,-0.64,1.07,0.920,0.70,-0.62,-1.45,0.920,0.57,-0.62,-1.10,0.920,0.69,-0.61,-0.48,0.920,0.46,-0.70,-0.04,0.920,0.44,-0.77,0.13,0.920,0.48,-0.64,-0.72,0.920,0.54,-0.64,-0.14
0.940,0.66,-0.62,-1.81,0.940,0.65,-0.63,0.86,0.940,0.58,-0.60,0.77,0.940,0.69,-0.65,-1.17,0.940,0.55,-0.66,-1.11,0.940,0.68,-0.62,-0.03,0.940,0.45,-0.70,0.02,0.940,0.42,-0.76,0.13,0.940,0.47,-0.65,-0.86,0.940,0.53,-0.64,-0.18
0.960,0.65,-0.68,-1.98,0.960,0.63,-0.63,1.91,0.960,0.57,-0.60,-0.11,0.960,0.67,-0.67,-0.51,0.960,0.54,-0.68,-0.43,0.960,0.67,-0.61,0.05,0.960,0.44,-0.69,0.04,0.960,0.41,-0.76,0.33,0.960,0.46,-0.67,-0.90,0.960,0.51,-0.64,-0.15
0.980,0.63,-0.72,-1.06,0.980,0.62,-0.55,1.73,0.980,0.56,-0.61,-0.89,0.980,0.66,-0.67,-0.19,0.980,0.53,-0.67,-0.03,0.980,0.65,-0.60,-0.52,0.980,0.42,-0.69,-0.02,0.980,0.39,-0.75,0.48,0.980,0.44,-0.69,-0.54,0.980,0.50,-0.65,-0.12
1.000,0.62,-0.71,-0.31,1.000,0.61,-0.49,-0.56,1.000,0.55,-0.64,-1.22,1.000,0.65,-0.66,-0.25,1.000,0.51,-0.66,-0.34,1.000,0.64,-0.63,-1.07,1.000,0.41,-0.69,-0.14,1.000,0.38,-0.74,0.58,1.000,0.43,-0.70,0.07,1.000,0.49,-0.64,-0.31
1.020,0.61,-0.71,-0.25,1.020,0.61,-0.56,-3.26,1.020,0.54,-0.67,-1.04,1.020,0.63,-0.68,-0.32,1.020,0.50,-0.68,-0.97,1.020,0.63,-0.67,-0.90,1.020,0.40,-0.70,-0.25,1.020,0.36,-0.73,0.60,1.020,0.42,-0.68,0.37,1.020,0.47,-0.65,-0.59
1.040,0.59,-0.73,-0.41,1.040,0.59,-0.68,-3.38,1.040,0.52,-0.69,-0.45,1.040,0.62,-0.69,-0.19,1.040,0.49,-0.71,-1.17,1.040,0.61,-0.67,-0.47,1.040,0.38,-0.70,-0.28,1.040,0.35,-0.71,0.61,1.040,0.40,-0.67,0.22,1.040,0.46,-0.68,-0.59
1.060,0.58,-0.74,-0.26,1.060,0.57,-0.75,-1.36,1.060,0.51,-0.69,0.27,1.060,0.61,-0.69,-0.09,1.060,0.47,-0.74,-0.70,1.060,0.60,-0.67,-0.57,1.060,0.37,-0.71,-0.23,1.060,0.33,-0.70,0.22,1.060,0.39,-0.67,-0.06,1.060,0.45,-0.69,-0.05
1.080,0.56,-0.74,-0.08,1.080,0.56,-0.71,0.30,1.080,0.49,-0.67,0.67,1.080,0.59,-0.68,-0.20,1.080,0.46,-0.74,0.10,1.080,0.59,-0.69,-0.66,1.080,0.35,-0.71,-0.18,1.080,0.32,-0.69,-0.79,1.080,0.38,-0.68,-0.14,1.080,0.43,-0.68,0.62
1.100,0.55,-0.73,-0.03,1.100,0.55,-0.70,0.64,1.100,0.48,-0.65,0.59,1.100,0.58,-0.69,-0.30,1.100,0.44,-0.73,0.74,1.100,0.57,-0.72,-0.37,1.100,0.34,-0.72,-0.19,1.100,0.31,-0.73,-1.72,1.100,0.36,-0.68,-0.06,1.100,0.42,-0.66,0.95
1.120,0.53,-0.74,0.07,1.120,0.53,-0.70,0.58,1.120,0.47,-0.65,0.32,1.120,0.57,-0.70,-0.30,1.120,0.43,-0.70,0.81,1.120,0.56,-0.70,-0.21,1.120,0.32,-0.72,-0.23,1.120,0.29,-0.79,-1.65,1.120,0.35,-0.68,-0.03,1.120,0.41,-0.63,0.68
1.140,0.52,-0.73,0.27,1.140,0.52,-0.68,0.73,1.140,0.45,-0.64,0.33,1.140,0.55,-0.70,-0.27,1.140,0.41,-0.69,0.50,1.140,0.55,-0.70,-0.43,1.140,0.31,-0.73,-0.22,1.140,0.27,-0.81,-0.54,1.140,0.33,-0.68,-0.12,1.140,0.39,-0.62,-0.07
1.160,0.50,-0.73,0.23,1.160,0.50,-0.66,0.59,1.160,0.44,-0.64,0.70,1.160,0.54,-0.71,-0.30,1.160,0.40,-0.69,0.17,1.160,0.53,-0.73,-0.56,1.160,0.30,-0.73,-0.16,1.160,0.26,-0.80,0.32,1.160,0.32,-0.68,-0.19,1.160,0.38,-0.63,-0.73
1.180,0.49,-0.72,-0.29,1.180,0.49,-0.65,0.20,1.180,0.43,-0.62,0.91,1.180,0.52,-0.72,-0.31,1.180,0.39,-0.68,-0.05,1.180,0.52,-0.74,-0.18,1.180,0.28,-0.73,-0.10,1.180,0.24,-0.78,0.38,1.180,0.31,-0.69,-0.29,1.180,0.37,-0.66,-0.75
1.200,0.47,-0.73,-0.69,1.200,0.48,-0.66,-0.11,1.200,0.42,-0.59,0.46,1.200,0.51,-0.72,-0.29,1.200,0.37,-0.69,-0.20,1.200,0.50,-0.73,0.18,1.200,0.27,-0.73,-0.07,1.200,0.23,-0.79,0.21,1.200,0.29,-0.69,-0.58,1.200,0.36,-0.68,-0.19
1.220,0.46,-0.76,-0.38,1.220,0.47,-0.66,-0.38,1.220,0.41,-0.59,-0.53,1.220,0.49,-0.73,-0.23,1.220,0.36,-0.69,-0.36,1.220,0.49,-0.72,0.20,1.220,0.25,-0.74,-0.08,1.220,0.21,-0.78,0.35,1.220,0.28,-0.71,-1.17,1.220,0.34,-0.67,0.30
1.240,0.44,-0.76,0.35,1.240,0.45,-0.67,-0.61,1.240,0.39,-0.62,-1.14,1.240,0.48,-0.73,-0.15,1.240,0.34,-0.70,-0.44,1.240,0.47,-0.72,0.14,1.240,0.24,-0.74,-0.12,1.240,0.19,-0.77,0.56,1.240,0.27,-0.74,-1.69,1.240,0.33,-0.65,0.37
1.260,0.43,-0.73,0.35,1.260,0.44,-0.69,-0.47,1.260,0.38,-0.65,-0.94,1.260,0.46,-0.74,-0.06,1.260,0.33,-0.71,-0.36,1.260,0.46,-0.72,0.17,1.260,0.22,-0.74,-0.17,1.260,0.18,-0.75,0.58,1.260,0.25,-0.79,-1.47,1.260,0.32,-0.65,0.33
1.280,0.41,-0.72,-0.56,1.280,0.42,-0.70,0.11,1.280,0.37,-0.66,-0.36,1.280,0.45,-0.74,-0.01,1.280,0.32,-0.72,-0.19,1.280,0.45,-0.71,0.26,1.280,0.21,-0.74,-0.18,1.280,0.16,-0.75,1.80,1.280,0.23,-0.81,-0.66,1.280,0.30,-0.65,0.41
1.300,0.40,-0.76,-1.21,1.300,0.41,-0.68,0.47,1.300,0.35,-0.66,0.05,1.300,0.44,-0.74,6.54E-4,1.300,0.30,-0.72,-0.05,1.300,0.43,-0.71,0.32,1.300,0.19,-0.75,-0.15,1.300,0.15,-0.73,5.22,1.300,0.22,-0.81,0.09,1.300,0.29,-0.63,0.57
1.320,0.38,-0.80,-0.72,1.320,0.40,-0.66,0.26,1.320,0.34,-0.66,0.16,1.320,0.42,-0.74,-0.01,1.320,0.29,-0.72,-0.01,1.320,0.42,-0.70,0.34,1.320,0.18,-0.75,0.33,1.320,0.13,-0.57,9.18,1.320,0.20,-0.80,0.23,1.320,0.28,-0.62,0.73
1.340,0.37,-0.80,0.22,1.340,0.38,-0.67,-0.15,1.340,0.33,-0.65,0.22,1.340,0.41,-0.74,-0.05,1.340,0.27,-0.72,-0.02,1.340,0.40,-0.69,0.46,1.340,0.16,-0.75,2.42,1.340,0.12,-0.30,10.28,1.340,0.19,-0.79,0.10,1.340,0.27,-0.61,3.22
1.360,0.35,-0.77,0.60,1.360,0.37,-0.68,-0.29,1.360,0.32,-0.65,0.56,1.360,0.39,-0.74,-0.08,1.360,0.26,-0.72,-0.02,1.360,0.39,-0.69,0.87,1.360,0.15,-0.70,6.17,1.360,0.12,-0.08,7.28,1.360,0.17,-0.80,1.28,1.360,0.25,-0.59,8.18
1.380,0.34,-0.76,0.34,1.380,0.36,-0.68,-0.19,1.380,0.30,-0.64,2.55,1.380,0.38,-0.74,-0.08,1.380,0.24,-0.72,-0.01,1.380,0.38,-0.67,1.39,1.380,0.13,-0.51,9.46,1.380,0.12,0.01,2.99,1.380,0.15,-0.79,4.85,1.380,0.24,-0.28,9.79
1.400,0.32,-0.76,-0.04,1.400,0.34,-0.68,-0.15,1.400,0.29,-0.60,5.47,1.400,0.36,-0.74,-0.23,1.400,0.23,-0.72,0.01,1.400,0.36,-0.62,1.26,1.400,0.12,-0.25,9.47,1.400,0.12,-0.01,1.56,1.400,0.14,-0.65,7.61,1.400,0.23,0.03,2.46
1.420,0.31,-0.77,-0.21,1.420,0.33,-0.69,-0.18,1.420,0.28,-0.39,5.91,1.420,0.35,-0.74,-0.49,1.420,0.21,-0.72,0.05,1.420,0.35,-0.59,0.29,1.420,0.12,-0.06,4.87,1.420,0.12,-0.01,2.67,1.420,0.12,-0.37,127.12,1.420,0.25,-0.05,-9.80
1.440,0.29,-0.77,-0.29,1.440,0.32,-0.69,-0.18,1.440,0.27,-0.24,1.60,1.440,0.33,-0.76,-0.54,1.440,0.20,-0.72,0.07,1.440,0.34,-0.61,-0.68,1.440,0.12,-0.01,120.41,1.440,0.12,0.13,2.74,1.440,0.12,-0.31,364.76,1.440,0.25,-0.52,-14.50
1.460,0.28,-0.78,-0.30,1.460,0.30,-0.70,-0.17,1.460,0.28,-0.29,-5.17,1.460,0.32,-0.78,-0.22,1.460,0.19,-0.72,0.00,1.460,0.33,-0.64,-1.26,1.460,0.12,-0.17,360.40,1.460,0.12,0.19,-1.88,1.460,0.12,14.13,484.26,1.460,0.22,-0.91,-8.51
