"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1","Time (s) Run #2","Position (m) Run #2","Velocity (m/s) Run #2","Acceleration (m/s²) Run #2","Time (s) Run #3","Position (m) Run #3","Velocity (m/s) Run #3","Acceleration (m/s²) Run #3","Time (s) Run #4","Position (m) Run #4","Velocity (m/s) Run #4","Acceleration (m/s²) Run #4","Time (s) Run #5","Position (m) Run #5","Velocity (m/s) Run #5","Acceleration (m/s²) Run #5","Time (s) Run #7","Position (m) Run #7","Velocity (m/s) Run #7","Acceleration (m/s²) Run #7","Time (s) Run #8","Position (m) Run #8","Velocity (m/s) Run #8","Acceleration (m/s²) Run #8","Time (s) Run #9","Position (m) Run #9","Velocity (m/s) Run #9","Acceleration (m/s²) Run #9","Time (s) Run #10","Position (m) Run #10","Velocity (m/s) Run #10","Acceleration (m/s²) Run #10","Time (s) Run #11","Position (m) Run #11","Velocity (m/s) Run #11","Acceleration (m/s²) Run #11"
0.300,1.09,-0.52,-8.68,0.300,0.99,-0.92,-6.54,0.300,1.01,-0.73,-6.38,0.300,0.91,-1.18,-6.65,0.300,1.02,-1.05,-4.97,0.300,0.96,-1.06,-4.16,0.300,0.97,-0.71,-4.19,0.300,0.87,-0.91,-1.68,0.300,0.93,-0.57,0.37,0.300,0.91,-0.28,-1.73
0.320,1.08,-0.70,-7.50,0.320,0.97,-1.05,-6.47,0.320,0.99,-0.85,-6.15,0.320,0.88,-1.34,-5.06,0.320,0.99,-1.15,-4.72,0.320,0.93,-1.14,-4.15,0.320,0.95,-0.80,-4.08,0.320,0.86,-0.93,-1.73,0.320,0.92,-0.54,-2.48,0.320,0.90,-0.34,-2.95
0.340,1.06,-0.82,-6.25,0.340,0.95,-1.18,-5.96,0.340,0.97,-0.97,-5.92,0.340,0.86,-1.41,-2.96,0.340,0.97,-1.25,-4.24,0.340,0.91,-1.22,-4.02,0.340,0.93,-0.88,-3.81,0.340,0.84,-0.95,-2.68,0.340,0.91,-0.67,-5.61,0.340,0.89,-0.42,-2.76
0.360,1.04,-0.92,-5.91,0.360,0.92,-1.29,-5.20,0.360,0.95,-1.09,-5.71,0.360,0.83,-1.41,-2.62,0.360,0.94,-1.32,-3.83,0.360,0.89,-1.30,-3.77,0.360,0.91,-0.95,-3.47,0.360,0.82,-1.03,-3.75,0.360,0.89,-0.83,-5.83,0.360,0.89,-0.47,-1.83
0.380,1.02,-1.05,-6.18,0.380,0.89,-1.39,-4.57,0.380,0.93,-1.20,-5.49,0.380,0.80,-1.47,-2.93,0.380,0.92,-1.39,-3.67,0.380,0.86,-1.38,-3.49,0.380,0.90,-1.02,-3.13,0.380,0.80,-1.13,-3.44,0.380,0.87,-0.95,-3.38,0.380,0.87,-0.48,-0.75
0.400,1.00,-1.18,-6.31,0.400,0.86,-1.47,-4.44,0.400,0.90,-1.31,-5.25,0.400,0.77,-1.59,-2.90,0.400,0.89,-1.47,-3.69,0.400,0.83,-1.44,-3.31,0.400,0.87,-1.08,-2.95,0.400,0.77,-1.20,-1.99,0.400,0.86,-0.96,-0.84,0.400,0.86,-0.49,-0.43
0.420,0.98,-1.30,-6.17,0.420,0.83,-1.56,-4.69,0.420,0.87,-1.41,-5.02,0.420,0.74,-1.58,-3.41,0.420,0.86,-1.54,-3.68,0.420,0.80,-1.51,-3.43,0.420,0.85,-1.13,-2.90,0.420,0.75,-1.19,-0.99,0.420,0.83,-0.95,0.73,0.420,0.85,-0.48,-0.66
0.440,0.95,-1.42,-5.67,0.440,0.80,-1.66,-4.98,0.440,0.85,-1.51,-4.83,0.440,0.70,-1.65,-5.69,0.440,0.83,-1.61,-3.59,0.440,0.77,-1.57,-3.73,0.440,0.83,-1.19,-2.85,0.440,0.72,-1.21,-1.22,0.440,0.82,-0.93,0.78,0.440,0.84,-0.52,-0.71
0.460,0.92,-1.54,-5.09,0.460,0.77,-1.76,-5.00,0.460,0.81,-1.61,-4.70,0.460,0.68,-1.82,-7.90,0.460,0.79,-1.68,-3.47,0.460,0.74,-1.66,-3.78,0.460,0.81,-1.25,-2.74,0.460,0.70,-1.24,-1.93,0.460,0.80,-0.89,-0.07,0.460,0.83,-0.53,-0.38
0.480,0.89,-1.62,-4.97,0.480,0.73,-1.86,-4.76,0.480,0.78,-1.70,-4.58,0.480,0.63,-2.03,-6.57,0.480,0.76,-1.75,-3.33,0.480,0.70,-1.74,-3.40,0.480,0.78,-1.30,-2.31,0.480,0.67,-1.30,-2.18,0.480,0.78,-0.92,-1.06,0.480,0.82,-0.53,-0.02
0.500,0.85,-1.72,-5.47,0.500,0.69,-1.95,-4.47,0.500,0.75,-1.79,-4.47,0.500,0.59,-2.15,-3.62,0.500,0.72,-1.82,-3.13,0.500,0.67,-1.80,-2.65,0.500,0.75,-1.35,-1.65,0.500,0.65,-1.34,-2.04,0.500,0.76,-0.96,-1.39,0.500,0.81,-0.52,-0.39
0.520,0.82,-1.84,-5.93,0.520,0.65,-2.04,-4.23,0.520,0.71,-1.88,-4.38,0.520,0.55,-2.11,-1.67,0.520,0.69,-1.88,-3.00,0.520,0.63,-1.84,-2.12,0.520,0.73,-1.37,-1.22,0.520,0.62,-1.37,-1.64,0.520,0.74,-0.98,-1.00,0.520,0.80,-0.53,-0.71
0.540,0.78,-1.97,-5.56,0.540,0.61,-2.12,-4.12,0.540,0.67,-1.96,-4.29,0.540,0.50,-2.17,-1.81,0.540,0.65,-1.93,-3.03,0.540,0.59,-1.87,-2.09,0.540,0.70,-1.38,-1.97,0.540,0.59,-1.41,-1.38,0.540,0.72,-1.00,-0.66,0.540,0.79,-0.57,-0.49
0.560,0.74,-2.07,-4.97,0.560,0.57,-2.20,-4.06,0.560,0.63,-2.05,-4.16,0.560,0.46,-2.21,-2.65,0.560,0.61,-2.00,-3.09,0.560,0.56,-1.92,-2.40,0.560,0.67,-1.42,-3.59,0.560,0.56,-1.42,-1.33,0.560,0.70,-1.01,-0.47,0.560,0.78,-0.56,-0.16
0.580,0.70,-2.15,-4.72,0.580,0.52,-2.28,-3.96,0.580,0.59,-2.13,-3.98,0.580,0.42,-2.27,-2.76,0.580,0.57,-2.06,-2.87,0.580,0.52,-1.97,-2.65,0.580,0.64,-1.54,-4.42,0.580,0.54,-1.46,-1.47,0.580,0.68,-1.02,-0.31,0.580,0.77,-0.55,-0.48
0.600,0.65,-2.26,-4.72,0.600,0.48,-2.36,-3.74,0.600,0.55,-2.21,-3.77,0.600,0.37,-2.33,-2.58,0.600,0.53,-2.12,-2.32,0.600,0.48,-2.03,-2.61,0.600,0.61,-1.64,-3.53,0.600,0.51,-1.49,-1.41,0.600,0.66,-1.02,-0.46,0.600,0.76,-0.57,-1.50
0.620,0.61,-2.35,-4.52,0.620,0.43,-2.43,-3.41,0.620,0.50,-2.28,-3.52,0.620,0.32,-2.38,-2.12,0.620,0.48,-2.16,-1.83,0.620,0.44,-2.08,-2.38,0.620,0.57,-1.69,-2.07,0.620,0.48,-1.52,-0.87,0.620,0.64,-1.02,-1.20,0.620,0.75,-0.62,-2.15
0.640,0.56,-2.44,-4.05,0.640,0.38,-2.50,-2.94,0.640,0.45,-2.35,-3.32,0.640,0.27,-2.41,-1.86,0.640,0.44,-2.18,-1.63,0.640,0.39,-2.12,-1.99,0.640,0.54,-1.69,-1.27,0.640,0.45,-1.53,-0.40,0.640,0.62,-1.06,-2.13,0.640,0.73,-0.68,-2.09
0.660,0.51,-2.51,-3.61,0.660,0.33,-2.56,-1.63,0.660,0.41,-2.41,-3.23,0.660,0.23,-2.45,,0.660,0.40,-2.22,-1.66,0.660,0.35,-2.16,-1.56,0.660,0.51,-1.73,-0.72,0.660,0.42,-1.52,-0.30,0.660,0.60,-1.12,-2.57,0.660,0.72,-0.71,-1.44
