Time (s) Run #1,Position (m) Run #1,Time (s) Run #2,Position (m) Run #2,Time (s) Run #3,Position (m) Run #3,Time (s) Run #4,Position (m) Run #4,Time (s) Run #5,Position (m) Run #5,Time (s) Run #6,Position (m) Run #6,Time (s) Run #7,Position (m) Run #7,Time (s) Run #8,Position (m) Run #8,Time (s) Run #9,Position (m) Run #9,Time (s) Run #10,Position (m) Run #10
0.76,,0.76,0.09,0.76,,0.76,,0.76,,0.76,,0.76,,0.76,0.26,0.76,0.36,0.76,0.48
0.78,,0.78,,0.78,,0.78,,0.78,,0.78,,0.78,,0.78,0.23,0.78,0.33,0.78,0.46
0.8,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8,,0.8,0.2,0.8,0.31,0.8,0.44
0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,,0.8200000000000001,0.17,0.8200000000000001,0.29,0.8200000000000001,0.42
0.84,,0.84,,0.84,,0.84,,0.84,,0.84,,0.84,,0.84,0.13,0.84,0.26,0.84,0.41
0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,,0.86,0.12,0.86,0.24,0.86,0.39
0.88,,0.88,,0.88,,0.88,,0.88,,0.88,,0.88,,0.88,0.12,0.88,0.21,0.88,0.37
0.9,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9,,0.9,0.09,0.9,0.19,0.9,0.35
0.92,,0.92,,0.92,,0.92,,0.92,,0.92,,0.92,,0.92,,0.92,0.17,0.92,0.34
0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,,0.9400000000000001,0.17,0.9400000000000001,0.32
0.96,,0.96,,0.96,,0.96,,0.96,,0.96,,0.96,,0.96,,0.96,0.13,0.96,0.3
0.98,,0.98,,0.98,,0.98,,0.98,,0.98,,0.98,,0.98,,0.98,0.13,0.98,0.28
1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,0.11,1.0,0.26
1.02,,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,,1.02,0.25
1.04,,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,,1.04,0.23
1.06,,1.06,,1.06,,1.06,,1.06,,1.06,,1.06,,1.06,,1.06,,1.06,0.21
1.08,,1.08,,1.08,,1.08,,1.08,,1.08,,1.08,,1.08,,1.08,,1.08,0.19
1.1,,1.1,,1.1,,1.1,,1.1,,1.1,,1.1,,1.1,,1.1,,1.1,0.18
1.12,,1.12,,1.12,,1.12,,1.12,,1.12,,1.12,,1.12,,1.12,,1.12,0.16
1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,,1.1400000000000001,0.14
1.16,,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,,1.16,0.13
1.18,,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,,1.18,0.13
1.2,,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,,1.2,0.13
1.22,,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,,1.22,0.12
